2953936.97987867,2953836.6,99.89999999999998,0.47987867042428,0.0,243973.60000000003,3.2111962,36.0, 5, 0, 0, 4, 0, 0, 0, 21, 2, 22, 6, 0, 1.25, 0.25, 5.974236111111108, 0.23412698412698413, 0.13412698412698412, 
, , , , , , , 39.0, 0, 0, 0, 1, 0, 0, 2, 31, 4, 28, 2, 0, 1.0256410256410255, 0.2564102564102564, 6.040128205128206, 0.24175824175824176, 0.13956043956043956, 
, , , , , , , 10.0, 0, 0, 0, 1, 0, 0, 0, 7, 2, 7, 0, 0, 1.0, 0.3, 5.6795, 0.11428571428571428, 0.13857142857142857, 
, , , , , , , 19.0, 0, 0, 0, 1, 0, 0, 0, 15, 2, 13, 1, 1, 1.105263157894737, 0.3157894736842105, 5.956140350877192, 0.12781954887218044, 0.13759398496240602, 
2926638.4205366215,2926536.6,101.50000000000001,0.32053662169760055,0.0,226631.60000000003,2.7498343,36.0, 2, 0, 0, 5, 0, 0, 0, 27, 1, 21, 4, 0, 1.1111111111111112, 0.3055555555555556, 6.071944444444444, 0.23015873015873015, 0.13333333333333333, 
, , , , , , , 38.0, 0, 1, 1, 2, 0, 0, 2, 29, 2, 26, 5, 0, 1.105263157894737, 0.23684210526315788, 5.923991228070176, 0.21052631578947367, 0.14699248120300754, 
, , , , , , , 10.0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 7, 0, 0, 1.1, 0.3, 5.6725, 0.15714285714285714, 0.14714285714285716, 
, , , , , , , 19.0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 14, 1, 1, 1.2105263157894737, 0.2631578947368421, 5.981140350877193, 0.18796992481203006, 0.13909774436090225, 
2910540.211040869,2910445.2,94.70000000000002,0.3110408687587174,0.0,188791.20000000004,3.7408105,37.0, 4, 0, 0, 6, 0, 0, 0, 22, 4, 25, 6, 0, 1.135135135135135, 0.2702702702702703, 5.962567567567567, 0.22393822393822393, 0.14826254826254828, 
, , , , , , , 36.0, 0, 0, 0, 1, 0, 0, 2, 25, 1, 25, 4, 0, 1.0833333333333333, 0.2777777777777778, 6.018217592592593, 0.21031746031746032, 0.13015873015873017, 
, , , , , , , 11.0, 0, 0, 0, 2, 0, 0, 0, 7, 0, 7, 0, 0, 1.0909090909090908, 0.2727272727272727, 5.558560606060606, 0.15584415584415584, 0.1155844155844156, 
, , , , , , , 18.0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 10, 1, 1, 1.2777777777777777, 0.2777777777777778, 6.015740740740741, 0.21428571428571427, 0.11587301587301586, 
